,f1_train,f1_test,accuracy_train,accuracy_test,sigma,num_epoch,num_sets,kmax,mf,num_input_units,output_units
89,0.3594986598414366,0.34523457450996153,0.50815,0.49820000000000003,0.001,50,5,10,semicircle,10,2
90,0.48750538281689704,0.4884949375914224,0.5343,0.531,0.001,50,5,25,tri,10,2
91,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,5,25,gaussian,10,2
92,0.18092172942821344,0.18056892772273242,0.50025,0.4984,0.001,50,5,25,semicircle,10,2
93,0.430838224407987,0.4469872013080433,0.54335,0.5522,0.001,50,5,50,tri,10,2
94,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,5,50,gaussian,10,2
95,0.16953455233301423,0.16964237741057814,0.49975,0.49779999999999996,0.001,50,5,50,semicircle,10,2
96,0.5123125525730391,0.5099674955044151,0.5581,0.5588,0.001,50,7,5,tri,10,2
97,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,50,7,5,gaussian,10,2
98,0.5067301262354449,0.49845091660307805,0.48679999999999995,0.47400000000000003,0.001,50,7,5,semicircle,10,2
99,0.5257834166254947,0.5206211370046769,0.5571999999999999,0.5542,0.001,50,7,10,tri,10,2
100,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,50,7,10,gaussian,10,2
101,0.3636250955768152,0.37087088990699907,0.4897,0.4908,0.001,50,7,10,semicircle,10,2
102,0.47455772530740886,0.47616903311140996,0.5382,0.5378000000000001,0.001,50,7,25,tri,10,2
103,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,7,25,gaussian,10,2
104,0.25945614444700854,0.2581137548809668,0.50255,0.4998,0.001,50,7,25,semicircle,10,2
105,0.44999603007511046,0.43157468901103657,0.54495,0.5268,0.001,50,7,50,tri,10,2
106,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,7,50,gaussian,10,2
