,f1_train,f1_test,accuracy_train,accuracy_test,sigma,num_epoch,num_sets,kmax,mf,num_input_units,output_units
0,0.44273851744876547,0.4599436859358755,0.53425,0.5506,0.001,15,3,5,tri,10,2
1,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,15,3,5,gaussian,10,2
2,0.4574884547718828,0.47917441498605545,0.5069999999999999,0.5224,0.001,15,3,5,semicircle,10,2
3,0.1869930460132108,0.21156126100572742,0.4986,0.5096,0.001,15,3,10,tri,10,2
4,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,15,3,10,gaussian,10,2
5,0.25300329117246934,0.27305365407084026,0.50315,0.5094,0.001,15,3,10,semicircle,10,2
6,0.34178922925320415,0.36000960818692046,0.5352499999999999,0.5442,0.001,15,3,25,tri,10,2
7,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,15,3,25,gaussian,10,2
8,0.245972542845952,0.2574802822992508,0.5135,0.5264,0.001,15,3,25,semicircle,10,2
9,0.39447552169253386,0.4061563381268386,0.53075,0.542,0.001,15,3,50,tri,10,2
10,0.0,0.0007984031936127744,0.5,0.5002,0.001,15,3,50,gaussian,10,2
11,0.245972542845952,0.2574802822992508,0.5135,0.5264,0.001,15,3,50,semicircle,10,2
12,0.49754731383595113,0.4954296636514666,0.5494,0.5511999999999999,0.001,15,5,5,tri,10,2
13,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,15,5,5,gaussian,10,2
14,0.5028578942717805,0.5132876779083863,0.5011,0.5126,0.001,15,5,5,semicircle,10,2
15,0.4931228418533732,0.49960593677702725,0.5553,0.5584,0.001,15,5,10,tri,10,2
16,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,15,5,10,gaussian,10,2
17,0.3054292811461023,0.31450656197468285,0.5118,0.5118,0.001,15,5,10,semicircle,10,2
18,0.43890722956615136,0.4476293492748617,0.5461,0.5491999999999999,0.001,15,5,25,tri,10,2
19,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,15,5,25,gaussian,10,2
20,0.16606922179106515,0.16994946893023072,0.4990500000000001,0.507,0.001,15,5,25,semicircle,10,2
21,0.4006275479666666,0.40897802515078796,0.5406000000000001,0.5496000000000001,0.001,15,5,50,tri,10,2
22,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,15,5,50,gaussian,10,2
23,0.15468204469586594,0.15902291861807644,0.49855,0.5064,0.001,15,5,50,semicircle,10,2
24,0.5060677850459085,0.5062595328778757,0.556,0.5589999999999999,0.001,15,7,5,tri,10,2
25,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,15,7,5,gaussian,10,2
26,0.5033990797895211,0.49587048370345077,0.4864,0.47479999999999994,0.001,15,7,5,semicircle,10,2
27,0.5234862401526763,0.5204991217450471,0.55755,0.556,0.001,15,7,10,tri,10,2
28,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,15,7,10,gaussian,10,2
29,0.35155843865001396,0.360770102531637,0.4901000000000001,0.4928,0.001,15,7,10,semicircle,10,2
30,0.4449777259557107,0.4515148258808249,0.5371500000000001,0.5418000000000001,0.001,15,7,25,tri,10,2
31,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,15,7,25,gaussian,10,2
32,0.24103797521692188,0.24277172441104802,0.50335,0.5040000000000001,0.001,15,7,25,semicircle,10,2
33,0.4392019707891053,0.4248902132807954,0.5441999999999999,0.5324,0.001,15,7,50,tri,10,2
34,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,15,7,50,gaussian,10,2
35,0.20684137106529707,0.21752968469617945,0.49915000000000004,0.5027999999999999,0.001,15,7,50,semicircle,10,2
36,0.44273851744876547,0.4599436859358755,0.53425,0.5506,0.001,25,3,5,tri,10,2
37,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,25,3,5,gaussian,10,2
38,0.4801080814985708,0.5003388685100596,0.5104,0.5264,0.001,25,3,5,semicircle,10,2
39,0.18701788907054323,0.21156126100572742,0.49870000000000003,0.5096,0.001,25,3,10,tri,10,2
40,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,25,3,10,gaussian,10,2
41,0.2763996417475759,0.2935480719336791,0.5066499999999999,0.5126,0.001,25,3,10,semicircle,10,2
42,0.3314996633200081,0.3488515339668731,0.53675,0.5464,0.001,25,3,25,tri,10,2
43,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,25,3,25,gaussian,10,2
44,0.245972542845952,0.2574802822992508,0.5135,0.5264,0.001,25,3,25,semicircle,10,2
45,0.3893244181714872,0.4056974302810419,0.5301,0.5434,0.001,25,3,50,tri,10,2
46,0.0,0.0007984031936127744,0.5,0.5002,0.001,25,3,50,gaussian,10,2
47,0.245972542845952,0.2574802822992508,0.5135,0.5264,0.001,25,3,50,semicircle,10,2
48,0.49754731383595113,0.4954296636514666,0.5494,0.5511999999999999,0.001,25,5,5,tri,10,2
49,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,25,5,5,gaussian,10,2
50,0.5047168460750997,0.5158693052359914,0.5015,0.5128,0.001,25,5,5,semicircle,10,2
51,0.4931228418533732,0.49960593677702725,0.5553,0.5584,0.001,25,5,10,tri,10,2
52,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,25,5,10,gaussian,10,2
53,0.3054292811461023,0.31450656197468285,0.5118,0.5118,0.001,25,5,10,semicircle,10,2
54,0.43984113869666813,0.4480559629876226,0.548,0.5506,0.001,25,5,25,tri,10,2
55,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,25,5,25,gaussian,10,2
56,0.16288240425252215,0.16954340599047504,0.4981,0.5076,0.001,25,5,25,semicircle,10,2
57,0.40494721313380805,0.41275223190820604,0.5444500000000001,0.5524,0.001,25,5,50,tri,10,2
58,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,25,5,50,gaussian,10,2
59,0.15149522715732294,0.1586168556783208,0.4976,0.507,0.001,25,5,50,semicircle,10,2
60,0.5060677850459085,0.5062595328778757,0.556,0.5589999999999999,0.001,25,7,5,tri,10,2
61,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,25,7,5,gaussian,10,2
62,0.5027033971625312,0.495663771661238,0.48644999999999994,0.47539999999999993,0.001,25,7,5,semicircle,10,2
63,0.5234862401526763,0.5204991217450471,0.55755,0.556,0.001,25,7,10,tri,10,2
64,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,25,7,10,gaussian,10,2
65,0.35155843865001396,0.360770102531637,0.4901000000000001,0.4928,0.001,25,7,10,semicircle,10,2
66,0.4449777259557107,0.4515148258808249,0.5371500000000001,0.5418000000000001,0.001,25,7,25,tri,10,2
67,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,25,7,25,gaussian,10,2
68,0.23991026051162095,0.24063519053294108,0.50435,0.5040000000000001,0.001,25,7,25,semicircle,10,2
69,0.43875124628274786,0.42736330850868204,0.5454999999999999,0.533,0.001,25,7,50,tri,10,2
70,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,25,7,50,gaussian,10,2
71,0.20684431195416603,0.2175452459921242,0.49924999999999997,0.5032,0.001,25,7,50,semicircle,10,2
72,0.44273851744876547,0.4599436859358755,0.53425,0.5506,0.001,50,3,5,tri,10,2
73,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,50,3,5,gaussian,10,2
74,0.4762742355147124,0.4986979701617845,0.5117499999999999,0.529,0.001,50,3,5,semicircle,10,2
75,0.18531558279532925,0.20812912761005964,0.50035,0.5105999999999999,0.001,50,3,10,tri,10,2
76,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,50,3,10,gaussian,10,2
77,0.2763996417475759,0.2935480719336791,0.5066499999999999,0.5126,0.001,50,3,10,semicircle,10,2
78,0.3314996633200081,0.3488515339668731,0.53675,0.5464,0.001,50,3,25,tri,10,2
79,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,50,3,25,gaussian,10,2
80,0.253284507584272,0.2606115685533086,0.5169,0.5276,0.001,50,3,25,semicircle,10,2
81,0.3893244181714872,0.4056974302810419,0.5301,0.5434,0.001,50,3,50,tri,10,2
82,0.0,0.0007984031936127744,0.5,0.5002,0.001,50,3,50,gaussian,10,2
83,0.253284507584272,0.2606115685533086,0.5169,0.5276,0.001,50,3,50,semicircle,10,2
84,0.49754731383595113,0.4954296636514666,0.5494,0.5511999999999999,0.001,50,5,5,tri,10,2
85,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,50,5,5,gaussian,10,2
86,0.5012248443002794,0.5101711150006419,0.50455,0.514,0.001,50,5,5,semicircle,10,2
87,0.4931228418533732,0.49960593677702725,0.5553,0.5584,0.001,50,5,10,tri,10,2
88,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,50,5,10,gaussian,10,2
89,0.2545111945572037,0.2616058517701948,0.5144500000000001,0.518,0.001,50,5,10,semicircle,10,2
90,0.44233812596323013,0.44948449562047516,0.5512,0.556,0.001,50,5,25,tri,10,2
91,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,5,25,gaussian,10,2
92,0.24455068433816618,0.25339837207608334,0.54205,0.5494,0.001,50,5,25,semicircle,10,2
93,0.4071508426872482,0.4186313874109551,0.5447,0.5552,0.001,50,5,50,tri,10,2
94,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,5,50,gaussian,10,2
95,0.23316350724296697,0.24247182176392906,0.54155,0.5488000000000001,0.001,50,5,50,semicircle,10,2
96,0.5060677850459085,0.5062595328778757,0.556,0.5589999999999999,0.001,50,7,5,tri,10,2
97,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,50,7,5,gaussian,10,2
98,0.5027033971625312,0.495663771661238,0.48644999999999994,0.47539999999999993,0.001,50,7,5,semicircle,10,2
99,0.5234862401526763,0.5204991217450471,0.55755,0.556,0.001,50,7,10,tri,10,2
100,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,50,7,10,gaussian,10,2
101,0.35155843865001396,0.360770102531637,0.4901000000000001,0.4928,0.001,50,7,10,semicircle,10,2
102,0.43150802104066377,0.43927990128672345,0.53725,0.5418000000000001,0.001,50,7,25,tri,10,2
103,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,7,25,gaussian,10,2
104,0.2395519573663159,0.23999975750787278,0.50435,0.5050000000000001,0.001,50,7,25,semicircle,10,2
105,0.43875124628274786,0.42736330850868204,0.5454999999999999,0.533,0.001,50,7,50,tri,10,2
106,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,7,50,gaussian,10,2
107,0.20684431195416603,0.2175452459921242,0.49924999999999997,0.5032,0.001,50,7,50,semicircle,10,2
108,0.15474463995512866,0.1606676879110794,0.51685,0.52,0.01,15,3,5,tri,10,2
109,0.0,0.0,0.5,0.5,0.01,15,3,5,gaussian,10,2
110,0.27495522809808526,0.26969732730354007,0.5002000000000001,0.49720000000000003,0.01,15,3,5,semicircle,10,2
111,0.04643750360752795,0.04587170187726443,0.5028,0.5059999999999999,0.01,15,3,10,tri,10,2
112,0.02489851150202977,0.019117647058823527,0.5029,0.5016,0.01,15,3,10,gaussian,10,2
113,0.24231142788325952,0.24570282361413748,0.51245,0.5156000000000001,0.01,15,3,10,semicircle,10,2
114,0.2942526435503443,0.3131551002239142,0.5354,0.5431999999999999,0.01,15,3,25,tri,10,2
115,0.03349408154318282,0.027758007117437727,0.50505,0.5032,0.01,15,3,25,gaussian,10,2
116,0.1984050368614268,0.1968521087404815,0.50725,0.5076,0.01,15,3,25,semicircle,10,2
117,0.3198126022362088,0.3134346951374413,0.542,0.5378,0.01,15,3,50,tri,10,2
118,0.0,0.0,0.5,0.5,0.01,15,3,50,gaussian,10,2
119,0.1984050368614268,0.1968521087404815,0.50725,0.5076,0.01,15,3,50,semicircle,10,2
120,0.212102176108385,0.21497566267976925,0.5212,0.526,0.01,15,5,5,tri,10,2
121,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,15,5,5,gaussian,10,2
122,0.47488695449134183,0.4940923157878306,0.5135500000000001,0.5304,0.01,15,5,5,semicircle,10,2
123,0.3713228126198962,0.367970806964449,0.5468999999999999,0.5429999999999999,0.01,15,5,10,tri,10,2
124,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,15,5,10,gaussian,10,2
125,0.16481314084664264,0.16505935310420178,0.5103500000000001,0.5078,0.01,15,5,10,semicircle,10,2
126,0.5145473927555815,0.506232544870738,0.5666499999999999,0.5582,0.01,15,5,25,tri,10,2
